code_bss,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-05-09,642211200000,113.35,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.11
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-05-16,642816000000,113.3,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.16
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-05-23,643420800000,113.25,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.21
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-05-30,644025600000,113.2,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.26
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-06-06,644630400000,113.16,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.3
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-06-13,645235200000,113.11,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.35
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-06-20,645840000000,113.06,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.4
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-06-26,646358400000,113.01,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.45
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-07-02,646876800000,112.98,Valeur reconstituée,Donnée contrôlée niveau 2,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.48
03272X0006/PZ,http://services.ades.eaufrance.fr/pointeau/03272X0006/PZ,1990-07-09,647481600000,112.91,Mode d'obtention inconnu,Donnée interprétée,Correcte,2,Point lié au point précédent,17450988500029.0,Direction Régionale de l'Environnement (D.I.R.E.N.) Centre (17450988500029),0,Inconnue,24.55
